variant,condition,pause,mean_d_s,mean_d_l,mean_T,median_d_l,peak_n,median_rank,note
keep_arrau,source,P1,2.846,0.973,3.819,0.972,0,2.0,swap CA/EF duplicate member; n=16
keep_arrau,source,P2,0.738,1.354,2.092,1.466,9,1.0,swap CA/EF duplicate member; n=16
keep_arrau,source,P3,1.599,1.847,3.446,1.602,7,2.0,swap CA/EF duplicate member; n=16
keep_arrau,source,P4,2.13,0.363,2.493,0.254,0,4.0,swap CA/EF duplicate member; n=16
keep_arrau,peaknorm,P1,4.291,0.711,5.002,0.673,1,3.0,swap CA/EF duplicate member; n=16
keep_arrau,peaknorm,P2,1.383,1.29,2.672,1.395,6,2.0,swap CA/EF duplicate member; n=16
keep_arrau,peaknorm,P3,4.569,1.533,6.102,1.347,8,1.5,swap CA/EF duplicate member; n=16
keep_arrau,peaknorm,P4,1.935,0.598,2.533,0.228,1,4.0,swap CA/EF duplicate member; n=16
keep_fischer,source,P1,3.263,0.98,4.242,0.99,0,2.0,swap CA/EF duplicate member; n=16
keep_fischer,source,P2,0.738,1.354,2.092,1.466,9,1.0,swap CA/EF duplicate member; n=16
keep_fischer,source,P3,1.599,1.847,3.447,1.602,7,2.0,swap CA/EF duplicate member; n=16
keep_fischer,source,P4,2.051,0.367,2.418,0.277,0,4.0,swap CA/EF duplicate member; n=16
keep_fischer,peaknorm,P1,4.285,0.716,5.001,0.71,1,3.0,swap CA/EF duplicate member; n=16
keep_fischer,peaknorm,P2,1.381,1.292,2.673,1.415,6,2.0,swap CA/EF duplicate member; n=16
keep_fischer,peaknorm,P3,4.566,1.536,6.101,1.347,8,1.5,swap CA/EF duplicate member; n=16
keep_fischer,peaknorm,P4,1.935,0.598,2.533,0.228,1,4.0,swap CA/EF duplicate member; n=16
