recording_id,pianist,pause,d_s,d_l,T,condition,threshold_setting
AB,Alfred Brendel,P1,3.346,1.427,4.773,peaknorm,-35dB_0.10s
AB,Alfred Brendel,P2,1.122,0.459,1.581,peaknorm,-35dB_0.10s
AB,Alfred Brendel,P3,2.434,2.433,4.867,peaknorm,-35dB_0.10s
AB,Alfred Brendel,P4,3.778,1.080,4.858,peaknorm,-35dB_0.10s
AB,Alfred Brendel,P1,0.000,1.588,1.588,source,-35dB_0.10s
AB,Alfred Brendel,P2,1.081,0.500,1.581,source,-35dB_0.10s
AB,Alfred Brendel,P3,2.026,2.840,4.866,source,-35dB_0.10s
AB,Alfred Brendel,P4,3.650,1.208,4.858,source,-35dB_0.10s
CA,Claudio Arrau,P1,6.874,0.799,7.673,peaknorm,-35dB_0.10s
CA,Claudio Arrau,P2,0.957,1.367,2.324,peaknorm,-35dB_0.10s
CA,Claudio Arrau,P3,2.323,0.880,3.203,peaknorm,-35dB_0.10s
CA,Claudio Arrau,P4,4.609,0.201,4.810,peaknorm,-35dB_0.10s
CA,Claudio Arrau,P1,0.000,0.902,0.902,source,-35dB_0.10s
CA,Claudio Arrau,P2,0.816,1.507,2.323,source,-35dB_0.10s
CA,Claudio Arrau,P3,2.135,1.068,3.203,source,-35dB_0.10s
CA,Claudio Arrau,P4,4.609,0.201,4.810,source,-35dB_0.10s
DB,Daniel Barenboim,P1,1.338,0.259,1.597,peaknorm,-35dB_0.10s
DB,Daniel Barenboim,P2,0.000,2.473,2.473,peaknorm,-35dB_0.10s
DB,Daniel Barenboim,P3,3.366,1.879,5.245,peaknorm,-35dB_0.10s
DB,Daniel Barenboim,P4,3.922,0.124,4.046,peaknorm,-35dB_0.10s
DB,Daniel Barenboim,P1,3.950,0.607,4.557,source,-35dB_0.10s
DB,Daniel Barenboim,P2,1.215,0.384,1.599,source,-35dB_0.10s
DB,Daniel Barenboim,P3,3.076,2.171,5.247,source,-35dB_0.10s
DB,Daniel Barenboim,P4,0.376,0.219,0.595,source,-35dB_0.10s
EG,Emil Gilels,P1,2.826,0.201,3.027,peaknorm,-35dB_0.10s
EG,Emil Gilels,P2,0.859,0.387,1.246,peaknorm,-35dB_0.10s
EG,Emil Gilels,P3,2.281,1.030,3.311,peaknorm,-35dB_0.10s
EG,Emil Gilels,P4,0.000,0.444,0.444,peaknorm,-35dB_0.10s
EG,Emil Gilels,P1,1.663,1.522,3.185,source,-35dB_0.10s
EG,Emil Gilels,P2,0.744,0.563,1.307,source,-35dB_0.10s
EG,Emil Gilels,P3,3.300,3.490,6.790,source,-35dB_0.10s
EG,Emil Gilels,P4,0.363,0.210,0.573,source,-35dB_0.10s
FG,Friedrich Gulda,P1,3.974,0.334,4.308,peaknorm,-35dB_0.10s
FG,Friedrich Gulda,P2,2.822,1.607,4.429,peaknorm,-35dB_0.10s
