recording_id,pianist,pause,event_start,silence_start,silence_end,event_end,d_s,d_l,threshold_setting
AB,Alfred Brendel,P1,4.301,4.302,5.890,5.890,0.000,1.588,-35dB_0.10s
AB,Alfred Brendel,P2,5.890,6.971,7.470,7.470,1.081,0.500,-35dB_0.10s
AB,Alfred Brendel,P3,29.211,31.237,34.077,34.077,2.026,2.840,-35dB_0.10s
AB,Alfred Brendel,P4,48.557,52.207,53.415,53.415,3.650,1.208,-35dB_0.10s
CA,Claudio Arrau,P1,11.066,11.066,11.968,11.968,0.000,0.902,-35dB_0.10s
CA,Claudio Arrau,P2,11.968,12.784,14.291,14.291,0.816,1.507,-35dB_0.10s
CA,Claudio Arrau,P3,24.097,26.232,27.300,27.300,2.135,1.068,-35dB_0.10s
CA,Claudio Arrau,P4,36.788,41.398,41.599,41.599,4.609,0.201,-35dB_0.10s
DB,Daniel Barenboim,P1,8.435,12.385,12.992,12.992,3.950,0.607,-35dB_0.10s
DB,Daniel Barenboim,P2,13.150,14.365,14.749,14.749,1.215,0.384,-35dB_0.10s
DB,Daniel Barenboim,P3,43.864,46.940,49.111,49.111,3.076,2.171,-35dB_0.10s
DB,Daniel Barenboim,P4,58.933,59.308,59.528,59.528,0.376,0.219,-35dB_0.10s
EG,Emil Gilels,P1,0.409,2.073,3.594,3.594,1.663,1.522,-35dB_0.10s
EG,Emil Gilels,P2,3.594,4.339,4.901,4.901,0.744,0.563,-35dB_0.10s
EG,Emil Gilels,P3,34.755,38.056,41.545,41.545,3.300,3.490,-35dB_0.10s
EG,Emil Gilels,P4,67.566,67.930,68.140,68.140,0.363,0.210,-35dB_0.10s
FG,Friedrich Gulda,P1,3.167,7.035,7.475,7.475,3.869,0.440,-35dB_0.10s
FG,Friedrich Gulda,P2,7.475,10.243,11.904,11.904,2.768,1.661,-35dB_0.10s
FG,Friedrich Gulda,P3,35.583,36.986,38.793,38.793,1.403,1.807,-35dB_0.10s
FG,Friedrich Gulda,P4,50.737,50.787,50.982,50.982,0.050,0.195,-35dB_0.10s
GG,Glenn Gould,P1,5.068,6.022,7.873,7.873,0.954,1.850,-35dB_0.10s
GG,Glenn Gould,P2,7.873,7.900,10.454,10.454,0.027,2.554,-35dB_0.10s
GG,Glenn Gould,P3,26.100,27.374,28.773,28.773,1.274,1.399,-35dB_0.10s
GG,Glenn Gould,P4,47.147,47.508,47.706,47.706,0.362,0.197,-35dB_0.10s
LB,Lazar Berman,P1,9.406,9.551,9.699,9.699,0.145,0.147,-35dB_0.10s
LB,Lazar Berman,P2,9.699,10.410,11.836,11.836,0.711,1.426,-35dB_0.10s
LB,Lazar Berman,P3,23.583,26.881,27.464,27.464,3.299,0.582,-35dB_0.10s
LB,Lazar Berman,P4,35.632,35.890,36.054,36.054,0.258,0.164,-35dB_0.10s
MP,Maurizio Pollini,P1,1.906,8.295,9.273,9.273,6.389,0.978,-35dB_0.10s
MP,Maurizio Pollini,P2,9.737,9.738,11.458,11.458,0.000,1.720,-35dB_0.10s
MP,Maurizio Pollini,P3,25.340,26.168,27.811,27.811,0.828,1.643,-35dB_0.10s
MP,Maurizio Pollini,P4,29.811,35.607,36.099,36.099,5.796,0.492,-35dB_0.10s
RL,Radu Lupu,P1,0.234,3.004,4.535,4.535,2.769,1.532,-35dB_0.10s
RL,Radu Lupu,P2,4.535,5.978,6.283,6.283,1.443,0.305,-35dB_0.10s
RL,Radu Lupu,P3,34.499,35.623,39.313,39.313,1.125,3.690,-35dB_0.10s
RL,Radu Lupu,P4,63.012,63.031,63.335,63.335,0.019,0.303,-35dB_0.10s
SR,Sviatoslav Richter,P1,7.523,7.821,9.179,9.179,0.299,1.357,-35dB_0.10s
SR,Sviatoslav Richter,P2,14.972,15.001,15.287,15.287,0.029,0.286,-35dB_0.10s
SR,Sviatoslav Richter,P3,66.333,66.807,70.401,70.401,0.475,3.593,-35dB_0.10s
SR,Sviatoslav Richter,P4,73.194,73.458,73.778,73.778,0.264,0.320,-35dB_0.10s
VA,Vladimir Ashkenazy,P1,7.208,13.992,15.105,15.105,6.784,1.113,-35dB_0.10s
VA,Vladimir Ashkenazy,P2,15.105,15.354,17.235,17.235,0.249,1.881,-35dB_0.10s
VA,Vladimir Ashkenazy,P3,25.532,26.029,27.697,27.697,0.497,1.668,-35dB_0.10s
VA,Vladimir Ashkenazy,P4,42.636,46.074,47.032,47.032,3.438,0.958,-35dB_0.10s
VC,Van Cliburn,P1,9.962,15.196,15.399,15.399,5.234,0.202,-35dB_0.10s
VC,Van Cliburn,P2,15.399,16.688,18.489,18.489,1.289,1.801,-35dB_0.10s
VC,Van Cliburn,P3,36.399,36.399,37.503,37.503,0.000,1.104,-35dB_0.10s
VC,Van Cliburn,P4,56.752,56.752,57.041,57.041,0.000,0.289,-35dB_0.10s
VH,Vladimir Horowitz,P1,0.260,5.545,6.512,6.512,5.284,0.967,-35dB_0.10s
VH,Vladimir Horowitz,P2,6.512,6.752,8.387,8.387,0.240,1.635,-35dB_0.10s
VH,Vladimir Horowitz,P3,18.861,21.115,22.014,22.014,2.254,0.898,-35dB_0.10s
VH,Vladimir Horowitz,P4,35.153,37.712,37.857,37.857,2.559,0.145,-35dB_0.10s
WG,Walter Gieseking,P1,2.683,3.474,3.793,3.793,0.791,0.319,-35dB_0.10s
WG,Walter Gieseking,P2,4.735,4.735,8.566,8.566,0.000,3.831,-35dB_0.10s
WG,Walter Gieseking,P3,36.236,36.392,37.952,37.952,0.156,1.561,-35dB_0.10s
WG,Walter Gieseking,P4,64.921,65.195,65.528,65.528,0.274,0.333,-35dB_0.10s
WK,Wilhelm Kempff,P1,4.693,9.722,11.005,11.005,5.029,1.282,-35dB_0.10s
WK,Wilhelm Kempff,P2,11.005,11.507,12.879,12.879,0.503,1.371,-35dB_0.10s
WK,Wilhelm Kempff,P3,29.348,31.223,32.113,32.113,1.876,0.889,-35dB_0.10s
WK,Wilhelm Kempff,P4,33.246,45.300,45.743,45.743,12.055,0.442,-35dB_0.10s
ZK,Zoltán Kocsis,P1,3.447,5.817,6.585,6.585,2.370,0.768,-35dB_0.10s
ZK,Zoltán Kocsis,P2,6.585,7.280,7.516,7.516,0.695,0.236,-35dB_0.10s
ZK,Zoltán Kocsis,P3,27.082,28.948,30.098,30.098,1.867,1.150,-35dB_0.10s
ZK,Zoltán Kocsis,P4,39.562,39.562,39.701,39.701,0.000,0.139,-35dB_0.10s
